timestamp,timestamp_sample,control_mode_flags,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
256433780,256382465,1077379,8.285248e-05,0.0066401795,0.0030385796,0,0.0049367915,0.0034569749,0.0023624068,nan,0.007550129,0.002940788,0.0,0.0,0.0,0.42224,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
256642428,256598467,1077379,0.00015873421,0.0080804,0.0034739864,0,0.0051529477,0.003606698,0.0034106711,nan,0.039522544,0.005789441,0.0,0.0,0.0,0.42224,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
256843832,256787982,1077379,0.0003380827,0.014496646,0.0057450226,0,0.004998222,0.0034955028,0.00068449735,nan,0.055439025,0.0008097473,0.0,0.0,0.0,0.42224,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
257042527,256985013,1077379,0.00031600735,0.016608337,0.0072198324,0,0.0052622124,0.003665197,0.0024981427,nan,0.04562835,0.009805907,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
257234836,257193627,1077379,0.00029472134,0.01586794,0.0072099576,0,0.005215911,0.0036278137,4.904977e-05,nan,0.018779008,0.006519759,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
257439075,257405809,1077379,0.00016883387,0.005373304,0.00356815,0,0.005051493,0.0035173586,0.0009966138,nan,0.018986164,0.001731313,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
257636648,257578843,1077379,6.579481e-05,0.0045597614,0.0023974131,0,0.0049332073,0.0034610284,0.0008716852,nan,0.012019989,0.006635571,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
257841406,257794822,28803,0.00019026201,0.0032712803,0.000939229,0,0.004877958,0.0034167224,0.0023760127,nan,0.021207687,0.0010945837,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
258044072,258002221,28803,0.0002689322,0.00827096,0.0024984174,0,0.0050357077,0.0035143613,0.0019087412,nan,0.03457176,0.000780321,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
258247669,258191507,28803,0.00025268257,0.009663329,0.0034607311,0,0.0050366432,0.003512937,0.0026544966,nan,0.024272542,0.009415548,0.0,0.0,0.0,0.427243,2490378,2490378,0,0,0,0,831,2,1,4,3,1,0,0,0,0,0,0,0
