timestamp,timestamp_sample,wrench[0],wrench[1],wrench[2],wrench[3],wrench[4],wrench[5],motor_thrust[0],motor_thrust[1],motor_thrust[2],motor_thrust[3],observation[0],observation[1],observation[2],observation[3],observation[4],observation[5],observation[6],observation[7],observation[8],observation[9],observation[10],observation[11],observation[12],observation[13],observation[14]
275944547,4547587137286269727,0.0,0.0,0.0,0.0,0.0,0.0,0.85924065,1.0213233,0.89751464,0.9732419,0.04135239,-0.05676794,0.0028407574,0.9984108,0.05634159,0.0012167576,-0.056323588,0.9983443,-0.011679704,-0.019279288,-0.025633797,0.00354391,-0.040614493,0.06933694,0.002138275
275946971,4547337174484577324,0.0,0.0,0.0,0.0,0.0,0.0,0.86722255,1.01509,0.9015803,0.9697685,0.04135239,-0.05676794,0.0028407574,0.9984108,0.05634159,0.0012167576,-0.056323588,0.9983443,-0.011679704,-0.019279288,-0.025633797,0.00354391,-0.038264222,0.075872794,0.00980435
275949530,4547481081658837181,0.0,0.0,0.0,0.0,0.0,0.0,0.86253065,1.0186785,0.89694554,0.9740523,0.041674197,-0.05645573,0.0027884245,0.99841756,0.0562146,0.0016107466,-0.056192428,0.99835366,-0.011516895,-0.022566864,-0.022969307,0.0033743875,-0.036754914,0.078087635,0.003069422
275954513,4547287709346246001,0.0,0.0,0.0,0.0,0.0,0.0,0.8666255,1.0138571,0.90472263,0.97155416,0.041674197,-0.05645573,0.0027884245,0.9984114,0.056310385,0.0019796183,-0.056284577,0.99835086,-0.011302697,-0.022566864,-0.022969307,0.0033743875,-0.039781213,0.07642473,0.009866754
275957557,4547411941275309740,0.0,0.0,0.0,0.0,0.0,0.0,0.8625438,1.0169545,0.9014338,0.97443354,0.041674197,-0.05645573,0.0027884245,0.99841386,0.05625096,0.002390082,-0.056221157,0.99835664,-0.011106158,-0.022566864,-0.022969307,0.0033743875,-0.041284043,0.0737915,0.0045909705
275961683,4547446258063989551,0.0,0.0,0.0,0.0,0.0,0.0,0.860559,1.0178101,0.9063467,0.97280586,0.042013228,-0.056150913,0.0027234554,0.99841386,0.05625096,0.002390082,-0.056221157,0.99835664,-0.011106158,-0.026098868,-0.024619857,0.0030481108,-0.045730736,0.071236506,0.006625772
275967628,4547477856138382118,0.0,0.0,0.0,0.0,0.0,0.0,0.8593347,1.018598,0.90763694,0.9723671,0.042013228,-0.056150913,0.0027234554,0.9984211,0.056105405,0.0027453788,-0.056072563,0.99836755,-0.010863043,-0.026098868,-0.024619857,0.0030481108,-0.045693107,0.06665055,0.006564316
275968941,4547405451579716757,0.0,0.0,0.0,0.0,0.0,0.0,0.86102396,1.0167924,0.9071292,0.97350085,0.042013228,-0.056150913,0.0027234554,0.9984211,0.056105405,0.0027453788,-0.056072563,0.99836755,-0.010863043,-0.026098868,-0.024619857,0.0030481108,-0.04708791,0.07133422,0.006525091
275971742,4547474682157556243,0.0,0.0,0.0,0.0,0.0,0.0,0.8579962,1.0185189,0.91012245,0.9729943,0.042013228,-0.056150913,0.0027234554,0.9984211,0.056105405,0.0027453788,-0.056072563,0.99836755,-0.010863043,-0.026098868,-0.024619857,0.0030481108,-0.049507823,0.06410561,0.006641241
275975876,4547345545375864671,0.0,0.0,0.0,0.0,0.0,0.0,0.85987747,1.0152987,0.91299874,0.9727013,0.04234451,-0.05586964,0.002667129,0.99841917,0.05610183,0.0034550969,-0.056063324,0.9983734,-0.0103805745,-0.023484442,-0.023102803,0.0033330554,-0.05009411,0.06058505,0.009021865
