timestamp,voltage5v_v,voltage_payload_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid,payload_v_valid
135751826,4.872354,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
136251837,4.8607726,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
136752430,4.872354,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
137251827,4.876483,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
137751826,4.872757,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
138251825,4.848889,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
138751826,4.854428,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
139251828,4.852917,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
139751826,4.8518095,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
140252554,4.8583555,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
140751845,4.8569455,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
141251857,4.8831296,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
141751901,4.8792024,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
142251853,4.8708434,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
142751898,4.8655057,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
143251830,4.877188,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
143751826,4.875476,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
144252049,4.8525147,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
144751826,4.8409333,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
145251946,4.8496947,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
145751833,4.868527,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
146252096,4.85614,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
146752184,4.86752,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
147252277,4.870642,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
147752106,4.8694334,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
148251941,4.8748717,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
148752224,4.8684263,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
149251826,4.8775907,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
149752285,4.8742676,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
150251825,4.8745694,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
150751826,4.8394227,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
151251826,4.847983,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
151751861,4.846573,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
152253588,4.8466735,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
152751827,4.8734617,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
153252095,4.86752,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
153752132,4.862787,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
154252169,4.88172,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
154751826,4.8670163,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
155251980,4.8680234,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
155752100,4.8671174,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
156251986,4.865002,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
156752613,4.8538237,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
157251962,4.842041,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
157752268,4.8493924,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
158251988,4.8490906,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
158751936,4.8615785,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
159252171,4.863391,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
159752007,4.8635926,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
160252359,4.8674192,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
160751984,4.866614,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
161252179,4.8681245,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
161751951,4.865405,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
162251826,4.864398,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
162752364,4.845465,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
163251909,4.8645997,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
163752104,4.852313,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
164251826,4.849191,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
164751828,4.8436522,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
165251827,4.869534,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
165752109,4.866815,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
166252316,4.853522,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
166751827,4.8577514,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
167251872,4.8632903,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
167751839,4.8587584,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
168251896,4.863693,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0
