timestamp,timestamp_sample,time_last_fuse,device_id,observation[0],observation[1],observation[2],observation_variance[0],observation_variance[1],observation_variance[2],innovation[0],innovation[1],innovation[2],innovation_filtered[0],innovation_filtered[1],innovation_filtered[2],innovation_variance[0],innovation_variance[1],innovation_variance[2],test_ratio[0],test_ratio[1],test_ratio[2],test_ratio_filtered[0],test_ratio_filtered[1],test_ratio_filtered[2],estimator_instance,innovation_rejected,fused
153092686,152891733,152830555,0,0.32813576,-0.17796257,0.8009696,0.0025000002,0.0025000002,0.0025000002,-0.034082025,0.038241297,-0.26620308,-0.02907804,0.017507432,-0.080078915,0.0025142813,0.0025077246,0.0025074696,0.051332735,0.06479521,3.140132,-0.13457033,0.08582158,-0.78737515,2,1,0
153581501,153381760,153382527,0,0.30643186,-0.16031335,0.6630679,0.0025000002,0.0025000002,0.0025000002,-0.008408278,0.027578562,-0.122472346,-0.028198147,-0.0025994154,-0.10157607,0.002514506,0.002507564,0.002507343,0.003124057,0.033701204,0.6646934,-0.094511256,0.012231916,-0.9025917,2,0,1
154070822,153871730,153872146,0,0.35003895,-0.14244711,0.4162754,0.0025000002,0.0025000002,0.0025000002,-0.056887478,0.013609901,0.12773624,-0.025964594,-0.014969916,-0.06256389,0.0025145034,0.0025075853,0.0025073136,0.14300084,0.008209582,0.7230196,-0.0990498,-0.07866125,-0.55586964,2,0,1
154633156,154431731,154372049,0,0.12531897,0.029448884,0.9499073,0.0025000002,0.0025000002,0.0025000002,0.16961797,-0.16921401,-0.41429883,0.0049315193,-0.029958816,-0.11701989,0.0025144944,0.0025074852,0.0025072063,1.2713072,1.2687958,7.6066747,0.10889666,-0.18433213,-1.4746166,2,1,0
155123056,154921735,154924079,0,0.36626005,-0.124925,0.6426187,0.0025000002,0.0025000002,0.0025000002,-0.06779286,-0.008674055,-0.10219294,-0.01151552,-0.024425188,-0.072044715,0.0025147577,0.0025072687,0.0025070533,0.2030623,0.0033342142,0.46284786,-0.00883508,-0.11825336,-0.7485592,2,0,1
155612648,155411730,155351090,0,0.3149073,-0.052602917,0.77946436,0.0025000002,0.0025000002,0.0025000002,-0.0151005685,-0.0785708,-0.23587179,-0.024021136,-0.0041671693,-0.07963449,0.0025148687,0.0025072086,0.0025069742,0.010074622,0.27358317,2.46581,-0.1299123,-0.022585902,-0.72707146,2,1,0
156103760,155901735,155903168,0,0.28514948,-0.12870333,0.5528456,0.0025000002,0.0025000002,0.0025000002,0.012349904,-0.0026386827,-0.009861469,-0.010484248,-0.018668998,-0.046442464,0.0025149973,0.0025071048,0.002506888,0.0067382497,0.00030860884,0.0043099583,-0.08525037,-0.047031686,-0.40562603,2,0,1
156591246,156391732,156330321,0,0.30779278,-0.21903682,0.7937683,0.0025000002,0.0025000002,0.0025000002,-0.12033138,0.09258297,-0.26140943,-0.031066066,-0.0057442673,-0.098512895,0.0025817398,0.0025072738,0.0025119456,0.6231646,0.3798551,3.0226636,-0.14064425,-0.0777103,-0.9797635,2,1,0
157084833,156881759,156882191,0,0.20984685,-0.12541506,0.5743366,0.0025000002,0.0025000002,0.0025000002,0.097613424,-0.0030284375,-0.028919518,0.03248516,-0.011497806,-0.051321026,0.002530884,0.0025080135,0.0025070743,0.4183159,0.0003915274,0.036870833,0.093786545,-0.05645041,-0.412822,2,0,1
157582167,157371953,157382166,0,0.42015088,-0.099882595,0.54309344,0.0025000002,0.0025000002,0.0025000002,-0.013855338,-0.027535148,-0.008606732,0.05181302,-0.016617948,-0.028547745,0.002544997,0.0025080068,0.0025076244,0.0083811665,0.033613864,0.0032646977,0.19160044,-0.036110044,-0.183414,2,0,1
158133257,157931800,157934207,0,0.4619089,-0.19877829,0.47105187,0.0025000002,0.0025000002,0.0025000002,-0.13166383,0.05833289,0.06558359,0.000105525854,-0.0028056449,-0.028284432,0.0025185756,0.002507747,0.0025066065,0.76477814,0.15062833,0.19098978,-0.025903683,-0.006393285,-0.17856205,2,0,1
158622655,158421766,158423760,0,0.32318372,-0.10504706,0.58314025,0.0025000002,0.0025000002,0.0025000002,-0.0057877004,-0.0026667565,-0.022892952,-0.025463037,0.014649698,-0.06689854,0.002514123,0.0025094463,0.002507779,0.0014804135,0.00031507446,0.023231912,-0.1369088,0.03690165,-0.670555,2,0,1
159112872,158911731,158913265,0,0.41730547,-0.1853224,0.5502524,0.0025000002,0.0025000002,0.0025000002,-0.10664576,0.062790364,0.0012535453,-0.013093142,-0.007572762,-0.08208634,0.0025123486,0.0025072284,0.002506566,0.5029963,0.17470388,6.62298e-05,-0.074644744,-0.17447653,-0.76181275,2,0,1
159602415,159401746,159402781,0,0.35589227,-0.15521753,0.65677524,0.0025000002,0.0025000002,0.0025000002,-0.05960548,0.010661319,-0.11971086,-0.022923687,-0.0022362366,-0.09179373,0.0025115968,0.0025071038,0.0025065006,0.15717372,0.00502951,0.63512766,-0.14885674,-0.031534802,-0.7440662,2,0,1
160090944,159891732,159829870,0,0.2683779,-0.21128541,0.7523122,0.0025000002,0.0025000002,0.0025000002,0.026497364,0.072166085,-0.21121433,-0.021045586,0.0051790066,-0.09138137,0.0025111272,0.002506597,0.0025062372,0.031066628,0.23085499,1.9777987,-0.14711538,-0.028043775,-0.78121495,2,1,0
160584696,160381731,160381811,0,0.361137,-0.1419475,0.5278185,0.0025000002,0.0025000002,0.0025000002,-0.061147004,0.004605815,0.014166057,0.007053664,-0.02143398,-0.07028233,0.002510986,0.0025064636,0.0025061588,0.16544878,0.0009409582,0.008900176,0.00512364,-0.2079447,-0.7376674,2,0,1
161080706,160871731,160881809,0,0.3512426,-0.118704654,0.6761161,0.0025000002,0.0025000002,0.0025000002,-0.047793746,-0.018626072,-0.13340008,-0.01614372,-0.009267377,-0.069855206,0.0025111777,0.0025063772,0.002506103,0.10106998,0.015376175,0.78897464,-0.08144658,-0.06939381,-0.61148,2,0,1
