timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
967710468,0.003881883,0.024462096,0.110813946,6242,0,-0.076946475,0.19619386,-9.733948,6242,0,32,1,1
967719336,-0.0048646824,0.033201844,0.14520112,8868,0,-0.39169735,-0.33184883,-10.536387,8868,0,32,1,1
967728237,-0.0035542117,0.019450463,0.12609503,8901,0,-0.28696352,-0.030754859,-9.823858,7559,0,32,1,1
967733277,-0.007285675,0.07667734,0.119224064,5040,0,0.78187555,0.35349378,-9.925344,6382,0,32,1,1
967743332,-0.011321869,0.010582433,0.13229373,5030,0,-0.29171446,-0.27548197,-10.088596,5030,0,32,1,1
967748565,0.0035812007,0.056402344,0.12025207,5233,0,0.36376277,0.8736976,-9.559674,5233,0,32,1,1
967754333,-0.026344001,0.029256303,0.10782896,5768,0,-0.40481615,-1.5960087,-10.370728,5768,0,32,1,1
967758512,-0.00041124207,0.013326479,0.11369039,4179,0,-0.5893704,-0.2574921,-9.955962,4179,0,32,1,1
967763531,0.005406954,0.033767153,0.13875985,5019,0,0.8480765,1.8444678,-9.697131,5019,0,32,1,1
967768560,-0.007122331,0.035787515,0.10019517,5029,0,-0.38652727,-0.99222386,-10.058927,5029,0,32,1,1
967773645,0.0008974969,0.0015780913,0.09930255,5085,0,-1.2582266,-0.40693292,-9.90925,5085,0,32,1,1
967785334,-0.004584021,0.034682117,0.0954225,6573,0,-0.88121027,-0.86686426,-10.06384,6573,0,32,1,1
967795097,-0.014337387,0.04830003,0.13013841,9763,0,0.2554234,0.05691418,-9.944953,9763,0,32,1,1
967800179,-0.012587053,0.020937325,0.0742488,5082,0,-1.6134056,-0.73109037,-9.906107,5082,0,32,1,1
967806533,-0.016929222,0.046083935,0.13074568,6354,0,0.46935478,0.50133485,-9.933106,6354,0,32,1,1
967816611,-0.022046372,0.020322245,0.08435542,10078,0,-0.5988956,-0.66572416,-9.88849,10078,0,32,1,1
967821645,-0.021163126,0.026732175,0.1179158,5034,0,-0.5859327,0.5870305,-9.784545,5034,0,32,1,1
967831777,-0.016663522,0.037495684,0.091059685,5072,0,-0.16163345,0.462399,-10.098758,5072,0,32,1,1
967836822,-0.024316045,0.014648325,0.15016599,5045,0,-0.24353842,0.66884476,-9.803921,5045,0,32,1,1
967847393,-0.018879285,0.025314555,0.06658959,5387,0,-0.28782275,-0.006251283,-9.569476,5387,0,32,1,1
967852057,-0.025964662,0.027225625,0.12397941,4664,0,0.38235286,-0.17106566,-10.500462,4664,0,32,1,1
967857037,-0.020158177,0.01794256,0.11200811,4980,0,-1.1397406,0.6211662,-9.465636,4980,0,32,1,1
967862059,-0.027765017,0.02136991,0.05732448,5022,0,0.3262286,-0.741861,-9.910664,5022,0,32,1,1
967868446,-0.021390053,0.011186317,0.11939788,6387,0,-0.6488898,0.40488577,-9.862883,6387,0,32,1,1
967873456,-0.028801853,0.03679006,0.07398807,5010,0,0.72278553,-0.7553952,-10.188561,5010,0,32,1,1
967878492,-0.020097684,0.028047763,0.11221025,5036,0,-0.07799228,-0.2247184,-10.122883,5036,0,32,1,1
967883600,-0.018409424,-0.0066279043,0.11019603,5108,0,-0.9171708,0.43171996,-9.990177,5108,0,32,1,1
967889121,-0.018239614,0.039287522,0.08413856,5521,0,0.94362575,-0.045061864,-9.630302,5521,0,32,1,1
967893711,-0.021429509,0.027751302,0.1031917,4590,0,-0.30449006,-0.33734936,-10.30524,4590,0,32,1,1
967898827,-0.027102552,-0.01758308,0.09992523,5116,0,-1.831261,0.09100609,-10.0001745,5116,0,32,1,1
967908816,-0.028623559,0.03842554,0.096572354,9989,0,0.031395357,-0.09041159,-10.0522,9989,0,32,1,1
967913838,-0.033129063,-0.003946012,0.091435775,5022,0,-1.0836495,-0.813798,-10.024027,5022,0,32,1,1
967919057,-0.031201793,0.049522467,0.109436385,5219,0,0.4630616,1.0526847,-9.9876585,5219,0,32,1,1
967924974,-0.04510962,0.046082668,0.086811654,5917,0,-0.31472582,-1.2292944,-9.872272,5917,0,32,1,1
967929012,-0.03655196,0.03006688,0.09339993,4038,0,-0.30707777,-0.23417889,-10.082115,4038,0,32,1,1
967934086,-0.03193426,0.026893867,0.09996416,5074,0,-0.06565276,0.7790286,-9.702682,5074,0,32,1,1
967944169,-0.032064393,0.021805849,0.08900093,10083,0,-0.41747928,-0.4057302,-10.046917,10083,0,32,1,1
967952999,-0.016869608,-0.0017723314,0.0884573,8830,0,-0.30430838,0.36275718,-9.776731,8830,0,32,1,1
967964442,-0.016502352,-0.0008500732,0.06952239,6354,0,-0.55966365,-0.5806593,-10.003257,6354,0,32,1,1
967974491,-0.019539861,0.019867582,0.092011064,10049,0,-0.22766858,0.33787054,-9.9801445,8821,0,32,1,1
967979550,-0.013954437,0.028295433,0.056123048,5059,0,-0.0979629,-1.1786786,-9.963105,5309,0,32,1,1
967988396,-0.029221466,0.023498112,0.10523001,8846,0,-0.040026076,0.20582119,-10.082077,9824,0,32,1,1
967997236,-0.036957417,0.015685696,0.08896885,8840,0,-0.42542148,-0.16876507,-9.96759,8840,0,32,1,1
968002353,-0.029285852,0.031184588,0.057891697,5117,0,0.40632245,-0.2654577,-10.066003,5117,0,32,1,1
968012458,-0.037262104,0.008829184,0.098219275,10105,0,-0.26023903,0.020803826,-9.999424,10105,0,32,1,1
968017447,-0.03203113,0.045162894,0.03661918,4989,0,0.21083494,0.13342835,-9.797006,4989,0,32,1,1
968022496,-0.03799431,0.024302434,0.09536693,5049,0,0.09826984,-1.1787103,-10.399151,5049,0,32,1,1
968027945,-0.022527933,-0.0005888331,0.09787826,5449,0,-0.58298606,0.766627,-9.852269,5449,0,32,1,1
968032628,-0.030444536,0.013986702,0.062376928,4683,0,0.1944014,-0.31583908,-9.860928,4683,0,32,1,1
968037650,-0.033122744,0.03468944,0.10021886,5022,0,1.0939052,-2.2012055,-10.830393,5022,0,32,1,1
968048673,-0.022946844,0.0003073816,0.08385226,5968,0,1.2576247,-0.06503525,-9.742887,5968,0,32,1,1
968059472,-0.023307612,0.008029936,0.09251802,6684,0,0.21792594,0.45316637,-9.925794,6684,0,32,1,1
968069233,-0.036467165,0.017698213,0.075386964,9761,0,-0.880219,-0.70328116,-10.089891,9761,0,32,1,1
968074275,-0.02887553,0.051365126,0.093101434,5042,0,0.5101874,1.117454,-9.880922,5042,0,32,1,1
968084407,-0.041638393,0.03979047,0.07990273,10132,0,-0.45788714,-0.6673806,-10.062115,10132,0,32,1,1
968094536,-0.046009276,0.05352112,0.09913754,5048,0,0.4020633,-0.32328305,-10.028309,5048,0,32,1,1
968099588,-0.0331527,0.011944676,0.05569564,5052,0,-0.92513686,-1.0146848,-9.983213,5052,0,32,1,1
968109709,-0.028186878,0.020927425,0.08968929,10121,0,0.22747356,0.4630099,-9.900559,10121,0,32,1,1
