timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
971543534,971541997,0,nan,nan,-0.22856812,-0.27453214,-1.21071,-0.27849692,-0.32491705,-0.13116442,0.014359393,0.07168357,0.24451151,0.24007279,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.62968683,1.4485286,1.1094539,1.749903,1.5455221,nan,1.174252,0.004880051,0.0034150493,0.028195715,0.019524312,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971647421,971645522,0,nan,nan,-0.22348109,-0.26170537,-1.1823182,-0.27849692,-0.32491705,-0.13116442,0.08529956,0.1644244,0.30109307,0.29666054,-1.10827386e-07,-1.1289725e-05,0.00077675283,1.9317876,1.5739884,0.10540345,1.7478598,1.5455221,nan,1.1458602,0.004811903,0.0033698918,0.028058618,0.019434392,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971753042,971751590,0,nan,nan,-0.21033233,-0.2378108,-1.1515791,-0.27849692,-0.32491705,-0.13116442,0.1549038,0.26695618,0.28719476,0.28260362,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.16970047,0.043333154,-0.33638093,1.7453148,1.5455221,nan,1.1151211,0.00477586,0.0033442427,0.028170515,0.019386543,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971846425,971842566,0,nan,nan,-0.1926384,-0.21003483,-1.1269897,-0.27849692,-0.32491705,-0.13116442,0.22449353,0.32632664,0.26297262,0.2583586,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.50069267,0.5930497,-0.313066,1.7428508,1.5455221,nan,1.0905317,0.0053795637,0.0037527955,0.029823182,0.020353956,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
971951674,971949920,0,nan,nan,-0.16477436,-0.17170312,-1.1013515,-0.27849692,-0.32491705,-0.13116442,0.27848995,0.36925682,0.22691862,0.22258605,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.057375774,-0.28894827,-0.20194876,1.7401835,1.5455221,nan,1.0648935,0.005067434,0.003531154,0.028998958,0.01970791,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972045114,972043399,0,nan,nan,-0.13842401,-0.13852729,-1.0830828,-0.27849692,-0.32491705,-0.13116442,0.30424315,0.3803002,0.19615632,0.19216256,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.14911485,-0.20004366,-0.21148023,1.7392626,1.5455221,nan,1.0466248,0.005256931,0.003649449,0.029629303,0.020218652,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972149560,972148286,0,nan,nan,-0.10468076,-0.10078334,-1.0643537,-0.27849692,-0.32491705,-0.13116442,0.32611167,0.34947422,0.16368125,0.16032973,-1.10827386e-07,-1.1289725e-05,0.00077675283,-3.6473946e-05,-0.21826048,-0.5240399,1.7384634,1.5455221,nan,1.0278957,0.0054484704,0.0037844153,0.029816054,0.020383777,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972242134,972240560,0,nan,nan,-0.07433058,-0.070509516,-1.0500772,-0.27849692,-0.32491705,-0.13116442,0.3200777,0.3170224,0.13657153,0.13396735,-1.10827386e-07,-1.1289725e-05,0.00077675283,0.051905695,-0.71944344,-0.27556312,1.7385466,1.5455221,nan,1.0136192,0.0051284507,0.0035735501,0.028889872,0.019813674,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972349434,972347879,0,nan,nan,-0.04069827,-0.040457163,-1.0363408,-0.27849692,-0.32491705,-0.13116442,0.29523355,0.25031254,0.10847688,0.10673699,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.9544324,-1.4826788,-0.008275472,1.7374576,1.5455221,nan,0.9998829,0.004858812,0.0033910368,0.028454944,0.019430974,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972449240,972447671,0,nan,nan,-0.013562081,-0.01947139,-1.0261098,-0.27849692,-0.32491705,-0.13116442,0.24682936,0.18978891,0.08210746,0.08110084,-1.10827386e-07,-1.1289725e-05,0.00077675283,-1.0216202,-1.1634603,-0.12464272,1.7361825,1.5455221,nan,0.98965186,0.0049522663,0.003451681,0.02867623,0.019579103,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972553909,972552496,0,nan,nan,0.008688243,-0.0038039489,-1.0179605,-0.27849692,-0.32491705,-0.13116442,0.18657562,0.13251095,0.060342107,0.06000963,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.9209641,-0.7362506,-0.2421653,1.7354445,1.5455221,nan,0.9815026,0.005308206,0.0036911275,0.029586604,0.020174718,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972647440,972642186,0,nan,nan,0.022099586,0.0052965684,-1.0129514,-0.27849692,-0.32491705,-0.13116442,0.13588834,0.09353673,0.03884434,0.039076116,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.93741196,-0.24338585,-0.10764023,1.7358085,1.5455221,nan,0.9764934,0.0051197773,0.0035605705,0.029278714,0.019872956,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972751936,972750821,0,nan,nan,0.031132938,0.012973266,-1.0087712,-0.27849692,-0.32491705,-0.13116442,0.06503656,0.06531241,0.02260214,0.02339689,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.5935358,-0.32760236,-0.23262717,1.7369974,1.5455221,nan,0.9723132,0.0052646617,0.0036544912,0.029693363,0.020203488,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
972838670,972836802,0,nan,nan,0.03348087,0.01712307,-1.0067327,-0.27849692,-0.32491705,-0.13116442,0.018883513,0.05273537,0.010248693,0.011511307,-1.10827386e-07,-1.1289725e-05,0.00077675283,-0.9375361,0.15799156,-0.08276404,1.7372006,1.5455221,nan,0.97027475,0.0052027707,0.0036129046,0.029450497,0.020031912,inf,inf,inf,inf,1,1,1,1,2,2,1,1,1,1,0,0,0,0,0
