timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
1006765369,0.006857757,0.01979347,0.00083701336,0.0
1006965425,0.0067747473,0.019853137,0.00051293935,0.0
1007164016,0.006732361,0.020247942,0.00038443107,0.0
1007364046,0.006503235,0.019877175,9.728741e-05,0.0
1007567136,0.006719675,0.019772923,-0.0003722813,0.0
1007768709,0.006500578,0.01995456,-0.001164563,0.0
1007965775,0.006579274,0.020006044,-0.001906417,0.0
1008165845,0.0065108426,0.019619387,-0.0025845952,0.0
1008364416,0.0066152816,0.019817783,-0.0026900915,0.0
1008564490,0.006810976,0.019841079,-0.003267094,0.0
1008764564,0.0065133744,0.019698365,-0.0035623414,0.0
1008967658,0.006619735,0.019732336,-0.003534342,0.0
1009166219,0.0067587243,0.019804856,-0.0041209357,0.0
1009366284,0.006899165,0.020058108,-0.0046707103,0.0
1009566360,0.006819183,0.02033119,-0.0050603487,0.0
1009764925,0.006902175,0.020366937,-0.004858376,0.0
1009964997,0.006772784,0.020041993,-0.005442989,0.0
1010163561,0.0067018634,0.020228997,-0.0061083757,0.0
1010366644,0.0066683097,0.020466229,-0.007251749,0.0
1010566726,0.006513183,0.020562977,-0.007915104,0.0
1010766839,0.006508796,0.020386603,-0.008618441,0.0
1010965350,0.0065476843,0.020437112,-0.009902722,0.0
1011165465,0.0064932206,0.020743947,-0.010622369,0.0
1011363983,0.0065198746,0.020486416,-0.011396374,0.0
1011564100,0.006280723,0.02068298,-0.012216461,0.0
1011767202,0.0064577917,0.02064608,-0.013010374,0.0
1011967246,0.006778907,0.021239223,-0.013999211,0.0
1012165810,0.0066076177,0.021354329,-0.015020788,0.0
1012365833,0.006718665,0.021746015,-0.01552923,0.0
1012565900,0.006434797,0.021605924,-0.015251663,0.0
1012764465,0.006581707,0.02159008,-0.01554166,0.0
1012964533,0.0065782433,0.021631604,-0.016020486,0.0
1013167609,0.0068007503,0.02176166,-0.016267374,0.0
1013366173,0.0064888825,0.021910777,-0.016652802,0.0
1013566272,0.006520799,0.02187223,-0.01668646,0.0
1013766322,0.0064681815,0.021778362,-0.01638109,0.0
1013964864,0.0067497846,0.021935567,-0.016244534,0.0
1014164932,0.006550531,0.022396449,-0.015852591,0.0
1014363520,0.0066482667,0.02204762,-0.015446838,0.0
1014566579,0.0063797096,0.021862587,-0.014298127,0.0
1014766633,0.006456256,0.02195061,-0.0130827045,0.0
1014966711,0.006599697,0.02175851,-0.011254403,0.0
1015165259,0.006855888,0.021908369,-0.01005831,0.0
1015365328,0.0068198666,0.021626735,-0.008977603,0.0
1015563883,0.0067033656,0.021736735,-0.008580071,0.0
1015763949,0.00674251,0.021901933,-0.0077583045,0.0
1015967020,0.0069881016,0.021581205,-0.0070567266,0.0
1016167127,0.007064148,0.021406116,-0.006140924,0.0
1016365643,0.007120061,0.021610644,-0.0052369135,0.0
1016565753,0.00712815,0.021564057,-0.0037705181,0.0
1016765770,0.0070620817,0.021500813,-0.0032858779,0.0
1016964372,0.0070277546,0.021444404,-0.0023768244,0.0
1017164390,0.007184546,0.021292213,-0.001255641,0.0
1017367458,0.007353458,0.021462025,0.0002194383,0.0
1017566069,0.0072293715,0.021454742,0.0017831445,0.0
1017766080,0.0072345054,0.021641128,0.0031258292,0.0
1017966140,0.007086585,0.022045454,0.0042602783,0.0
1018085019,0.006935193,0.021900406,0.0047888593,0.0
1100705969,0.0070813275,0.022432415,0.0040258374,0.0
1100708985,0.007238466,0.022966133,0.0032392277,0.0
1100909005,0.000905788,0.023781653,-0.023671271,0.0
1101107528,-0.002386724,0.022535965,-0.024335142,0.0
1101307560,-0.00089879415,0.022979733,-0.017898919,0.0
1101507634,-0.0007210614,0.024057357,-0.012181086,0.0
1101706131,-0.000727318,0.024774062,-0.008851113,0.0
1101906187,-0.00075706426,0.024380498,-0.008917576,0.0
1102109224,-0.0009755059,0.024092922,-0.010844525,0.0
1102309216,-0.001235015,0.023050616,-0.013197351,0.0
1102507777,-0.001315503,0.02222785,-0.0150391925,0.0
1102707763,-0.0010840637,0.022010066,-0.0160031,0.0
1102907816,-0.00066322426,0.021887073,-0.016941492,0.0
1103106315,0.00047774482,0.02177853,-0.01715653,0.0
1103306385,0.0017462097,0.02176398,-0.017145766,0.0
1103509384,0.0033153025,0.021430943,-0.01774645,0.0
1103707908,0.0044299653,0.02145648,-0.01824191,0.0
1103907935,0.005016474,0.021245629,-0.019387817,0.0
1104107965,0.0056003863,0.021610782,-0.019554058,0.0
1104306494,0.0064944075,0.021546282,-0.01965787,0.0
1104506525,0.0066209086,0.021501873,-0.020123903,0.0
1104706556,0.007123737,0.021715194,-0.020959442,0.0
1104909585,0.0069830124,0.021463573,-0.021524416,0.0
1105108115,0.006964382,0.02124489,-0.021879816,0.0
1105308141,0.0069022626,0.0210309,-0.021632388,0.0
1105508216,0.006962237,0.020618498,-0.0205366,0.0
1105706695,0.0072025238,0.020591313,-0.019393835,0.0
1105906767,0.0068594003,0.020890774,-0.019133693,0.0
1106106777,0.006399434,0.021020425,-0.018275425,0.0
1106309786,0.0057636546,0.021359116,-0.01755733,0.0
1106508359,0.0054867663,0.021031063,-0.017405028,0.0
1106708338,0.0050216187,0.02116915,-0.016994098,0.0
1106908390,0.0049904897,0.021169545,-0.016392909,0.0
1107106920,0.004910893,0.021153793,-0.015937015,0.0
1107306939,0.0049781725,0.02124203,-0.014299361,0.0
1107505452,0.0052869795,0.02107083,-0.012384143,0.0
1107708480,0.0054612365,0.021097189,-0.011279839,0.0
1107908539,0.006118747,0.02101594,-0.010959173,0.0
1108085987,0.0063590663,0.021278385,-0.010210096,0.0
1108307062,0.017052375,0.019306356,-0.017581824,0.0
1108507090,0.010901437,0.02020775,-0.018969586,0.0
1108707119,0.008512181,0.019942023,-0.019820439,0.0
1108905646,0.0067367153,0.019164072,-0.01915787,0.0
1109108678,0.005561095,0.01845589,-0.018296797,0.0
1109308723,0.004807611,0.018780194,-0.017021025,0.0
1109508782,0.003901057,0.031119198,-0.016217537,0.0
1109707281,0.0034094835,0.025284896,-0.014291472,0.0
1109907337,0.0033757836,0.02202714,-0.012564458,0.0
1110107326,0.0041442276,0.029579509,-0.010980893,0.0
1110305911,0.0039488026,0.031386614,-0.009530094,0.0
1110508940,0.008393767,0.03885355,-0.00897607,0.0
1110708906,0.009841668,0.036674093,-0.009094288,0.0
1110907492,0.013039511,0.037691493,-0.009107983,0.0
1111107482,0.0,0.0,0.0,0.0
1111307508,0.0,0.0,0.0,0.0
1111506030,0.0,0.0,0.0,0.0
1111706035,0.0,0.0,0.0,0.0
1111909074,0.0,0.0,0.0,0.0
