timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
1031352673,1000186210,4,6946858,6815762,6684714,589834,0.510069,0.5038215,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1032358625,1000186210,4,6946858,6815762,6684714,589834,0.5066938,0.50227064,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1033360238,1000186210,4,6946858,6815762,6684714,589834,0.5088487,0.5029374,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1034365421,1000186210,4,6946858,6815762,6684714,589834,0.5088587,0.50350374,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1035368492,1000186210,4,6946858,6815762,6684714,589834,0.5103637,0.50356394,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1036374538,1000186210,4,6946858,6815762,6684714,589834,0.50842774,0.50333655,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1037379650,1000186210,4,6946858,6815762,6684714,589834,0.5050154,0.5021215,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1038381407,1000186210,4,6946858,6815762,6684714,589834,0.50520796,0.5012296,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1039387415,1000186210,4,6946858,6815762,6684714,589834,0.5077679,0.5150822,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1040392017,1000186210,4,6946858,6815762,6684714,589834,0.5206466,0.5176605,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1041396904,1000186210,4,6946858,6815762,6684714,589834,0.51148534,0.51365244,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1042398571,1000186210,4,6946858,6815762,6684714,589834,0.5053581,0.50628823,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1043398854,1000186210,4,6946858,6815762,6684714,589834,0.50337493,0.50355756,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
1044407955,1000186210,4,6946858,6815762,6684714,589834,0.5065128,0.5095073,2.0,nan,nan,nan,nan,nan,nan,1.0,0.0,1.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1,3,1,1,1,0,0,0,0,0,0,0,0
