timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_type_open_drone_id,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,open_drone_id_system_healthy,parachute_system_healthy
1062757952,1200.0,0.3020821,499.37576,0.0,18202,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1063017410,1200.0,0.3020821,499.37576,0.0,18208,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064269154,1200.0,0.3020821,504.08664,0.0,18231,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065521302,1200.0,0.3020821,507.91306,0.0,18247,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066783137,1200.0,0.3020821,446.63242,0.0,18264,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1067785247,1200.0,0.3020821,727.5166,0.0,18285,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068036352,1200.0,0.3020821,727.5166,0.0,18289,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069287285,1200.0,0.3020821,463.01657,0.0,18304,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070541180,1200.0,0.3020821,522.48535,0.0,18329,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071803409,1200.0,0.3020821,762.1709,0.0,18349,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1072807636,1200.0,0.3020821,521.0144,0.0,18360,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073047160,1200.0,0.3020821,521.0144,0.0,18365,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1074308217,1200.0,0.3020821,449.33813,0.0,18389,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075561856,1200.0,0.3020821,441.55667,0.0,18405,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076822159,1200.0,0.3020821,512.46466,0.0,18423,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077824150,1200.0,0.3020821,682.63336,0.0,18442,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078075136,1200.0,0.3020821,682.63336,0.0,18446,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079327183,1200.0,0.3020821,557.8742,0.0,18463,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080583158,1200.0,0.3020821,744.2786,0.0,18488,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1081844142,1200.0,0.3020821,449.0126,0.0,18504,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082844162,1200.0,0.3020821,499.77908,0.0,18519,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1083094191,1200.0,0.3020821,499.77908,0.0,18522,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084355253,1200.0,0.3020821,468.61423,0.0,18546,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1085606400,1200.0,0.3020821,500.49948,0.0,18563,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086859686,1200.0,0.3020821,454.545,0.0,18580,8,0.0,0,0,0,0,0,0.0,0,0,0,1,0,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
