timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_position_enabled,flag_control_velocity_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_acceleration_enabled,flag_control_attitude_enabled,flag_control_rates_enabled,flag_control_allocation_enabled,flag_control_termination_enabled,source_id
1072781068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1073287070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1073796068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1074303087,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1074809470,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1075316106,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1075824168,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1076330092,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1076838087,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1077345088,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1077854071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1078360070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1078867068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1079374068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1079881071,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1080387584,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1080893070,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1081401700,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1081908068,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1082416175,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1082923111,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1083430532,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1083936075,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1084443104,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1084949685,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1085455069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1085961195,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1086470152,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1086977089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1087484069,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1087990080,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
1088496089,1,1,0,0,0,1,0,0,0,0,0,0,0,0,23
